ID,Название,Производитель,Категория,Минимальная цена,Максимальная цена,Количество предложений,URL,Изображения,Характеристики
25606626,"Nord 4 12/256GB Obsidian Midnight","OnePlus","Смартфоны и мобильные телефоны",15649,17453,33,"/mobile-mobilnye-telefony-i-smartfony/oneplus-nord-4-12256gb-obsidian-midnight/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
26031851,"iPhone 16e 128GB White (MD1R4)","Apple","Смартфоны и мобильные телефоны",24000,37999,78,"/mobile-mobilnye-telefony-i-smartfony/apple-iphone-16e-128gb-white-/","[object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25745883,"Edge 50 Neo 8/256GB Nautical Blue (PB310053)","Motorola","Смартфоны и мобильные телефоны",11212,12999,65,"/mobile-mobilnye-telefony-i-smartfony/motorola-edge-50-neo-8256gb-nautical-blue-pb310053/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25779342,"14T 12/256GB Titan Gray","Xiaomi","Смартфоны и мобильные телефоны",16783.5,21999,20,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-14t-12256gb-titan-gray/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25160536,"Redmi Note 13 Pro+ 8/256GB Black","Xiaomi","Смартфоны и мобильные телефоны",10666,17999,42,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-redmi-note-13-proplus-8256gb-black/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25953671,"Redmi Note 14 8/256GB Mist Purple","Xiaomi","Смартфоны и мобильные телефоны",6675,9499,112,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-redmi-note-14-8256gb-mist-purple/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25777770,"Galaxy S24 FE 8/256GB Mint (SM-S721BLGG)","Samsung","Смартфоны и мобильные телефоны",19389,27365,92,"/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s24-fe-8256gb-mint-sm-s721blgg/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25951652,"X7 Pro 12/512GB Green","POCO","Смартфоны и мобильные телефоны",13913,74478,87,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-poco-x7-pro-12512gb-green/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25953672,"Redmi Note 14 8/256GB Ocean Blue","Xiaomi","Смартфоны и мобильные телефоны",6675,9499,117,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-redmi-note-14-8256gb-ocean-blue/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25710787,"Edge 50 Fusion 8/256GB Marshmallow Blue (PB3T0061)","Motorola","Смартфоны и мобильные телефоны",8769,11173,52,"/mobile-mobilnye-telefony-i-smartfony/motorola-edge-50-fusion-8256gb-marshmallow-blue-pb3t0061/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25949201,"13R 12/256GB Astral Trail","OnePlus","Смартфоны и мобильные телефоны",21335,23999,30,"/mobile-mobilnye-telefony-i-smartfony/oneplus-13r-12256gb-astral-trail/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25951648,"X7 Pro 12/256GB Black","POCO","Смартфоны и мобильные телефоны",12949,15995,41,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-poco-x7-pro-12256gb-black/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25520426,"Edge 50 Fusion 12/512GB Forest Blue (PB3T0062)","Motorola","Смартфоны и мобильные телефоны",13164,17134.75,20,"/mobile-mobilnye-telefony-i-smartfony/motorola-edge-50-fusion-12512gb-forest-blue/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
26136716,"Galaxy A56 5G 12/256GB Awesome Graphite (SM-A566BZKY)","Samsung","Смартфоны и мобильные телефоны",16199,18619,22,"/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a56-5g-12256gb-awesome-graphite-sm-a566bzky/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25520427,"Edge 50 Fusion 12/512GB Marshmallow Blue (PB3T0064)","Motorola","Смартфоны и мобильные телефоны",10999,17618,42,"/mobile-mobilnye-telefony-i-smartfony/motorola-edge-50-fusion-12512gb-marshmallow-blue/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
26138098,"X9c 12/256GB Jade Cyan","Honor","Смартфоны и мобильные телефоны",9612,14279,12,"/mobile-mobilnye-telefony-i-smartfony/honor-x9c-12256gb-jade-cyan/","[object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
25951646,"X7 Pro 8/256GB Green","POCO","Смартфоны и мобильные телефоны",11880,16999,83,"/mobile-mobilnye-telefony-i-smartfony/xiaomi-poco-x7-pro-8256gb-green/","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]","[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]"
